数据日期,车系ID,车型,品牌,动力形式,价格(万元),亮点标签,6C快充标签,换电支持,ADAS配置,纯电续航里程(km)工信部,纯电续航里程(km)CLTC,电池能量密度(Wh/kg),高压快充平台,充电时间,快充时间(分钟),充电电量,快充窗口跨度(%),高压平台电压(V),电池容量(kWh),电芯品牌,电池类型,电动机,电控系统,发电机马力(Ps),缺失状态,数据状态
2026-07-09,9833,乐道L60 2024款 525km 标准续航四驱版,乐道,纯电动,22.28,800V+、换电,未明确显示,支持换电,未明确显示,525,525,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,60,弗迪/宁德时代,磷酸铁锂电池,纯电动双电机,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,25072,昊铂HL 2025款 750 Max五座激光雷达版,昊铂,纯电动,26.98,800V+、疑似6C级快充、超充<=12分钟、长续航700+、ADAS,疑似6C级快充,未明确显示,高阶辅助驾驶线索 / 高配智驾版本线索,750,750,未明确显示,800V,快充10分钟,10.0,30-80,50.0,800,108.35,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25072,昊铂HL 2025款 750 Max六座激光雷达版,昊铂,纯电动,26.98,800V+、疑似6C级快充、超充<=12分钟、长续航700+、ADAS,疑似6C级快充,未明确显示,高阶辅助驾驶线索 / 高配智驾版本线索,750,750,未明确显示,800V,快充10分钟,10.0,30-80,50.0,800,108.35,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25072,昊铂HL 2025款 700 Ultra六座四驱激光雷达版,昊铂,纯电动,26.98,800V+、疑似6C级快充、超充<=12分钟、长续航700+、ADAS,疑似6C级快充,未明确显示,高阶辅助驾驶线索 / 高配智驾版本线索,700,700,未明确显示,800V,快充10分钟,10.0,30-80,50.0,800,108.35,中创新航,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10177,岚图岚图知音 后驱乾崑版,岚图,纯电动,20.29,800V+、疑似6C级快充、超充<=12分钟、ADAS,疑似6C级快充,未明确显示,高阶辅助驾驶线索,650,650,未明确显示,800V,快充10分钟,10.0,20-80,60.0,800,81,宁德时代,磷酸铁锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10177,岚图岚图知音 长续航超充版,岚图,纯电动,20.29,800V+、疑似6C级快充、超充<=12分钟,疑似6C级快充,未明确显示,未明确显示,650,650,未明确显示,800V,快充10分钟,10.0,10-80,70.0,800,79,宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,10177,岚图岚图知音 四驱乾崑版,岚图,纯电动,20.29,800V+、疑似6C级快充、超充<=12分钟、ADAS,疑似6C级快充,未明确显示,高阶辅助驾驶线索,600,600,未明确显示,800V,快充10分钟,10.0,20-80,60.0,800,81,宁德时代,磷酸铁锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10178,理想i8 2025款 标准版,理想,纯电动,33.98,800V+、超充<=12分钟、长续航700+,未明确显示,未明确显示,未明确显示,720,720,未明确显示,800V,快充11分钟 慢充17小时,11.0,10-80,70.0,800,97.8,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,9778,极氪ZEEKR 7X 75kWh后驱 Max版,极氪,纯电动,22.98,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,620,620,未明确显示,800V,快充11分钟 / 慢充10.7小时,11.0,10-80,70.0,800,75,衢州极电,磷酸铁锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9778,极氪ZEEKR 7X 75kWh 后驱智驾版,极氪,纯电动,22.98,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,605,605,未明确显示,800V,快充11分钟 / 慢充10.7小时,11.0,10-80,70.0,800,75,衢州极电,磷酸铁锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25621,小鹏GX 2026款 纯电 750四驱Ultra旗舰版,小鹏,纯电动,27.98,800V+、超充<=12分钟、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,750,750,未明确显示,800V,快充11.7分钟,11.7,10-80,70.0,800,110,中创新航,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25621,小鹏GX 2026款 纯电 665Max,小鹏,纯电动,27.98,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,665,665,未明确显示,800V,快充11.7分钟,11.7,10-80,70.0,800,91.9,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25621,小鹏GX 2026款 纯电 665Ultra,小鹏,纯电动,27.98,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,665,665,未明确显示,800V,快充11.7分钟,11.7,10-80,70.0,800,91.9,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25621,小鹏GX 2026款 纯电 665Ultra SE,小鹏,纯电动,27.98,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,665,665,未明确显示,800V,快充11.7分钟,11.7,10-80,70.0,800,91.9,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,20041,小米汽车小米YU7 四驱Max版,小米汽车小米,纯电动,23.35,800V+、超充<=12分钟、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,760,760,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,101.7,宁德时代,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5461,小鹏G9 2025款 725超长续航Max,小鹏,纯电动,24.88,800V+、超充<=12分钟、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,725,725,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,93.1,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5461,小鹏G9 2026款 725 Max,小鹏,纯电动,24.88,800V+、超充<=12分钟、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,725,725,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,93.1,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,20041,小米汽车小米YU7 四驱GT,小米汽车小米,纯电动,23.35,800V+、超充<=12分钟、长续航700+,未明确显示,未明确显示,未明确显示,705,705,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,101.7,宁德时代,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,5461,小鹏G9 2025款 680超长续航四驱Max,小鹏,纯电动,24.88,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,680,680,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,93.1,中创新航,磷酸铁锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5461,小鹏G9 2026款 680 四驱 Max,小鹏,纯电动,24.88,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,680,680,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,93.1,中创新航,磷酸铁锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5461,小鹏G9 2025款 625长续航Max,小鹏,纯电动,24.88,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,625,625,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,79.1,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5461,小鹏G9 2026款 625 Max,小鹏,纯电动,24.88,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,625,625,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,79.1,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9118,智己LS6 2026款 纯电 Max+,智己,纯电动,22.49,800V+、超充<=12分钟、ADAS,未明确显示,未明确显示,高配智驾版本线索,600,600,未明确显示,800V,快充12分钟,12.0,10-80,70.0,800,76,宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10180,智界智界R7 纯电 Max+(192线激光雷达),智界,纯电动,24.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索 / 高配智驾版本线索,802,802,未明确显示,800V,快充15分钟,15.0,30-80,50.0,800,100,江苏时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10180,智界智界R7 纯电 Max+(896线激光雷达),智界,纯电动,24.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索 / 高配智驾版本线索,802,802,未明确显示,800V,快充15分钟,15.0,30-80,50.0,800,100,江苏时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9778,极氪ZEEKR 7X 100kWh 长续航后驱智驾版,极氪,纯电动,22.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,780,780,未明确显示,800V,快充15分钟 / 慢充14.29小时,15.0,10-80,70.0,800,100,时代吉利,三元锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10180,智界智界R7 纯电 UItra(192线激光雷达),智界,纯电动,24.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,736,736,未明确显示,800V,快充15分钟,15.0,30-80,50.0,800,100,江苏时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10180,智界智界R7 纯电 UItra(896线激光雷达),智界,纯电动,24.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,736,736,未明确显示,800V,快充15分钟,15.0,30-80,50.0,800,100,江苏时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25718,零跑D19 2026款 纯电720智尊版 七座,零跑,纯电动,21.98,800V+、长续航700+,未明确显示,未明确显示,未明确显示,720,720,170.0,800V,快充15分钟 慢充10小时,15.0,30-80,50.0,800,115,宁德时代,磷酸铁锂电池+三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,25718,零跑D19 2026款 纯电720智尊版 六座,零跑,纯电动,21.98,800V+、长续航700+,未明确显示,未明确显示,未明确显示,720,720,170.0,800V,快充15分钟 慢充10小时,15.0,30-80,50.0,800,115,宁德时代,磷酸铁锂电池+三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,25557,理想i6 2025款 两驱 标准版,理想,纯电动,24.98,800V+、长续航700+,未明确显示,未明确显示,未明确显示,720,720,未明确显示,800V,快充15分钟,15.0,10-95,85.0,800,87.3,宁德时代/欣旺达,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,9778,极氪ZEEKR 7X 100kWh 长续航四驱智驾版,极氪,纯电动,22.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,705,705,未明确显示,800V,快充15分钟 / 慢充14.29小时,15.0,10-80,70.0,800,100,时代吉利,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25718,零跑D19 2026款 纯电680三电机性能版 六座,零跑,纯电动,21.98,800V+,未明确显示,未明确显示,未明确显示,680,680,170.0,800V,快充15分钟 慢充10小时,15.0,30-80,50.0,800,115,宁德时代,磷酸铁锂电池+三元锂电池,纯电动三电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,10180,智界智界R7 纯电 Max(192线激光雷达),智界,纯电动,24.98,800V+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索 / 高配智驾版本线索,667,667,未明确显示,800V,快充15分钟,15.0,30-80,50.0,800,82,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10180,智界智界R7 纯电 Max(896线激光雷达),智界,纯电动,24.98,800V+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索 / 高配智驾版本线索,667,667,未明确显示,800V,快充15分钟,15.0,30-80,50.0,800,82,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25557,理想i6 2025款 四驱 标准版,理想,纯电动,24.98,800V+,未明确显示,未明确显示,未明确显示,660,660,未明确显示,800V,快充15分钟,15.0,10-95,85.0,800,87.3,宁德时代,磷酸铁锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,25718,零跑D19 2026款 纯电620智尊版 六座,零跑,纯电动,21.98,800V+,未明确显示,未明确显示,未明确显示,620,620,未明确显示,800V,快充15分钟 慢充8.8小时,15.0,30-80,50.0,800,99.6,宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,9118,智己LS6 2026款 纯电 103 Max上汽一亿台限定版,智己,纯电动,22.49,800V+、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,750,750,未明确显示,800V,快充17分钟,17.0,10-80,70.0,800,103,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9118,智己LS6 2026款 纯电 Pro Max,智己,纯电动,22.49,800V+、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,750,750,未明确显示,800V,快充17分钟,17.0,10-80,70.0,800,103,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,6116,远航汽车远航H9 950km 四驱远航版,远航汽车远航,纯电动,40.98,800V+、长续航700+,未明确显示,未明确显示,未明确显示,950,950,未明确显示,800V,快充18分钟,18.0,80,未明确显示,800,150,未明确显示,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:电芯品牌、换电支持、ADAS配置,当日采集
2026-07-09,6116,远航汽车远航H9 840km 四驱奢享版,远航汽车远航,纯电动,40.98,800V+、长续航700+,未明确显示,未明确显示,未明确显示,840,840,未明确显示,800V,快充18分钟,18.0,80,未明确显示,800,120,未明确显示,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:电芯品牌、换电支持、ADAS配置,当日采集
2026-07-09,6116,远航汽车远航H9 650km 四驱奢享版,远航汽车远航,纯电动,40.98,800V+,未明确显示,未明确显示,未明确显示,650,650,未明确显示,800V,快充18分钟,18.0,80,未明确显示,800,98,亿纬锂能,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,9118,智己LS6 2026款 纯电 Max,智己,纯电动,22.49,800V+、ADAS,未明确显示,未明确显示,高配智驾版本线索,600,600,未明确显示,800V,快充18分钟,18.0,10-80,70.0,800,76,中创新航,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25819,与众08 2026款 Ultra,与众,纯电动,22.99,800V+、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,730,730,未明确显示,800V,快充20分钟,20.0,10-80,70.0,800,95.04,宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25819,与众08 2026款 Max,与众,纯电动,22.99,800V+、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,700,700,未明确显示,800V,快充20分钟,20.0,10-80,70.0,800,95.04,宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,20041,小米汽车小米YU7 后驱标准版,小米汽车小米,纯电动,23.35,800V+,未明确显示,未明确显示,未明确显示,643,643,未明确显示,800V,快充20分钟,20.0,10-80,70.0,800,73,宁德时代,磷酸铁锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,25819,与众08 2026款 Pure,与众,纯电动,22.99,800V+,未明确显示,未明确显示,未明确显示,630,630,未明确显示,800V,快充20分钟,20.0,10-80,70.0,800,82.37,宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,20041,小米汽车小米YU7 后驱长续航版,小米汽车小米,纯电动,23.35,800V+、长续航700+,未明确显示,未明确显示,未明确显示,835,835,未明确显示,800V,快充21分钟,21.0,10-80,70.0,800,96.3,弗迪/宁德时代,磷酸铁锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,20041,小米汽车小米YU7 四驱Pro版,小米汽车小米,纯电动,23.35,800V+、长续航700+,未明确显示,未明确显示,未明确显示,770,770,未明确显示,800V,快充21分钟,21.0,10-80,70.0,800,96.3,弗迪/宁德时代,磷酸铁锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,25079,奥迪Q6L Sportback e-tron 2026款 超长续航版,奥迪,纯电动,29.98,800V+、长续航700+,未明确显示,未明确显示,未明确显示,765,765,173.2,800V,快充21分钟,21.0,10-80,70.0,800,107,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,9440,奥迪Q6L e-tron 2026款 超长续航版,奥迪,纯电动,27.98,800V+、长续航700+,未明确显示,未明确显示,未明确显示,752,752,173.2,800V,快充21分钟,21.0,10-80,70.0,800,107,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,25079,奥迪Q6L Sportback e-tron 2026款 超长续航乾崑智驾版,奥迪,纯电动,29.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,715,715,173.2,800V,快充21分钟,21.0,10-80,70.0,800,107,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9440,奥迪Q6L e-tron 2026款 超长续航乾崑智驾版,奥迪,纯电动,27.98,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,709,709,173.2,800V,快充21分钟,21.0,10-80,70.0,800,107,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,25079,奥迪Q6L Sportback e-tron 2026款 quattro乾崑智驾版,奥迪,纯电动,29.98,800V+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,675,675,173.2,800V,快充21分钟,21.0,10-80,70.0,800,107,宁德时代,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9440,奥迪Q6L e-tron 2026款 quattro乾崑智驾版,奥迪,纯电动,27.98,800V+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,668,668,173.2,800V,快充21分钟,21.0,10-80,70.0,800,107,宁德时代,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5308,阿维塔阿维塔 11 Max后驱纯电版,阿维塔,纯电动,28.99,800V+、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,815,815,190.0,800V,快充25分钟 / 慢充13.5小时,25.0,30-80,50.0,800,116.79,宁德时代,三元锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5308,阿维塔阿维塔 11 Max四驱纯电版,阿维塔,纯电动,28.99,800V+、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,760,760,190.0,800V,快充25分钟 / 慢充13.5小时,25.0,30-80,50.0,800,116.79,宁德时代,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5308,阿维塔阿维塔 11 改款 Ultra四驱纯电版,阿维塔,纯电动,28.99,800V+、长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,760,760,190.0,800V,快充25分钟 / 慢充13.5小时,25.0,30-80,50.0,800,116.79,宁德时代,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,5308,阿维塔阿维塔 11 改款 皇家剧院版,阿维塔,纯电动,28.99,800V+、长续航700+,未明确显示,未明确显示,未明确显示,760,760,190.0,800V,快充25分钟 / 慢充13.5小时,25.0,30-80,50.0,800,116.79,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,5308,阿维塔阿维塔 11 暗夜骑士版,阿维塔,纯电动,28.99,800V+、长续航700+,未明确显示,未明确显示,未明确显示,760,760,190.0,800V,快充25分钟 / 慢充13.5小时,25.0,30-80,50.0,800,116.79,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,25079,奥迪Q6L Sportback e-tron 2026款 长续航版,奥迪,纯电动,29.98,800V+,未明确显示,未明确显示,未明确显示,677,677,143.5,800V,快充25分钟,25.0,10-80,70.0,800,95,弗迪,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,9440,奥迪Q6L e-tron 2026款 长续航版,奥迪,纯电动,27.98,800V+,未明确显示,未明确显示,未明确显示,672,672,143.5,800V,快充25分钟,25.0,10-80,70.0,800,95,弗迪,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,10177,岚图岚图知音 超长续航乾崑版,岚图,纯电动,20.29,800V+、长续航700+、ADAS,未明确显示,未明确显示,高阶辅助驾驶线索,901,901,未明确显示,800V,快充32分钟,32.0,20-80,60.0,800,112,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,10177,岚图岚图知音 超长续航智享版,岚图,纯电动,20.29,800V+、长续航700+,未明确显示,未明确显示,未明确显示,901,901,未明确显示,800V,快充32分钟,32.0,10-80,70.0,800,109,宁德时代,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,10136,smart精灵#5 2024款 超长续航豪华版,smart,纯电动,23.99,长续航700+,未明确显示,未明确显示,未明确显示,740,740,未明确显示,400V,快充15分钟,15.0,10-80,70.0,400,100,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,10136,smart精灵#5 2025款 超长续航豪华四驱版,smart,纯电动,23.99,未明确显示,未明确显示,未明确显示,未明确显示,670,670,未明确显示,400V,快充15分钟,15.0,10-80,70.0,400,100,中创新航,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,10136,smart精灵#5 2025款 BRABUS超能版,smart,纯电动,23.99,未明确显示,未明确显示,未明确显示,未明确显示,660,660,未明确显示,400V,快充15分钟,15.0,10-80,70.0,400,100,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,10136,smart精灵#5 2024款 丛林之境限量版,smart,纯电动,23.99,未明确显示,未明确显示,未明确显示,未明确显示,580,580,未明确显示,400V,快充15分钟,15.0,10-80,70.0,400,100,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:换电支持、ADAS配置,当日采集
2026-07-09,8835,红旗天工08 2025款 730 Max后驱版,红旗天工,纯电动,21.59,长续航700+、ADAS,未明确显示,未明确显示,高配智驾版本线索,730,730,未明确显示,400V,快充20分钟,20.0,10-80,70.0,400,111,宁德时代/时代一汽,三元锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持,当日采集
